log_date log_time id url status start end size err
2021/03/03 23:49:54 ca29a9b6 wixsite.com <nil> 1614844194286409000 1614844194343106000 <nil> Get "https://wixsite.com": dial tcp: lookup wixsite.com: no such host
2021/03/03 23:49:54 6d97229f godaddy.com <nil> 1614844194286443000 1614844194913683000 <nil> Get "https://godaddy.com": read tcp 192.168.1.47:53828->208.109.192.70:443: read: connection reset by peer
2021/03/03 23:49:55 91fc303b youtube-nocookie.com <nil> 1614844194286647000 1614844195015445000 <nil> Get "https://youtube-nocookie.com": x509: certificate is valid for *.google.com, *.android.com, *.appengine.google.com, *.bdn.dev, *.cloud.google.com, *.crowdsource.google.com, *.datacompute.google.com, *.flash.android.com, *.g.co, *.gcp.gvt2.com, *.gcpcdn.gvt1.com, *.ggpht.cn, *.gkecnapps.cn, *.google-analytics.com, *.google.ca, *.google.cl, *.google.co.in, *.google.co.jp, *.google.co.uk, *.google.com.ar, *.google.com.au, *.google.com.br, *.google.com.co, *.google.com.mx, *.google.com.tr, *.google.com.vn, *.google.de, *.google.es, *.google.fr, *.google.hu, *.google.it, *.google.nl, *.google.pl, *.google.pt, *.googleadapis.com, *.googleapis.cn, *.googlecnapps.cn, *.googlecommerce.com, *.googlevideo.com, *.gstatic.cn, *.gstatic.com, *.gstaticcnapps.cn, *.gvt1.com, *.gvt2.com, *.metric.gstatic.com, *.urchin.com, *.url.google.com, *.wear.gkecnapps.cn, *.youtube-nocookie.com, *.youtube.com, *.youtubeeducation.com, *.youtubekids.com, *.yt.be, *.ytimg.com, android.clients.google.com, android.com, developer.android.google.cn, developers.android.google.cn, g.co, ggpht.cn, gkecnapps.cn, goo.gl, google-analytics.com, google.com, googlecnapps.cn, googlecommerce.com, source.android.google.cn, urchin.com, www.goo.gl, youtu.be, youtube.com, youtubeeducation.com, youtubekids.com, yt.be, not youtube-nocookie.com
2021/03/03 23:49:55 0985cb02 nasa.gov <nil> 1614844194286397000 1614844195017508000 <nil> Get "https://nasa.gov": x509: certificate signed by unknown authority
2021/03/03 23:49:55 777a68ea amazonaws.com <nil> 1614844194286750000 1614844195094090000 <nil> Get "https://amazonaws.com": dial tcp 207.171.166.22:443: connect: connection refused
2021/03/03 23:49:55 027681b3 wsj.com 404 1614844194286585000 1614844195100085000 798523 <nil>
2021/03/03 23:49:55 4ae6327e bitly.com 200 1614844194286366000 1614844195119057000 49616 <nil>
2021/03/03 23:49:55 1919b5f4 httpd.apache.org 200 1614844194286412000 1614844195119011000 9708 <nil>
2021/03/03 23:49:55 5915ba89 wordpress.com 200 1614844194286298000 1614844195097188000 214313 <nil>
2021/03/03 23:49:55 84ad4ff9 validator.w3.org 200 1614844194286327000 1614844195131892000 27142 <nil>
2021/03/03 23:49:55 547ae6ab wp.com 200 1614844194286662000 1614844195134262000 214313 <nil>
2021/03/03 23:49:55 6cd699a8 support.mozilla.org 200 1614844194286681000 1614844195199058000 37932 <nil>
2021/03/03 23:49:55 cd4c895a accounts.google.com 200 1614844194286641000 1614844195167728000 71935 <nil>
2021/03/03 23:49:55 1de3cccc bit.ly 200 1614844194286373000 1614844195205225000 49616 <nil>
2021/03/03 23:49:55 d2313e0e soundcloud.com 200 1614844194286644000 1614844195207547000 12533 <nil>
2021/03/03 23:49:55 4d735668 wendyssubway.com 200 1614844194286453000 1614844195213784000 10467 <nil>
2021/03/03 23:49:55 478a75f0 apache.org 200 1614844194286618000 1614844195119153000 86992 <nil>
2021/03/03 23:49:55 a52e0df4 drive.google.com 200 1614844194286472000 1614844195208659000 72328 <nil>
2021/03/03 23:49:55 28d7078c policies.google.com 200 1614844194286655000 1614844195165830000 182980 <nil>
2021/03/03 23:49:55 8d452a5c sourceforge.net 200 1614844194286495000 1614844195194616000 157881 <nil>
2021/03/03 23:49:55 c6fd97be europa.eu 200 1614844194286503000 1614844195314998000 11701 <nil>
2021/03/03 23:49:55 b856ee8c sciencedirect.com 403 1614844194286306000 1614844195152545000 708109 <nil>
2021/03/03 23:49:55 3387ab1b developers.google.com 200 1614844194286309000 1614844195405184000 131413 <nil>
2021/03/03 23:49:55 4b04819d play.google.com 200 1614844194286288000 1614844195144866000 1141812 <nil>
2021/03/03 23:49:55 4a7fdd91 harvard.edu 200 1614844194286689000 1614844195460077000 162161 <nil>
2021/03/03 23:49:55 f3e401aa cloudfront.net <nil> 1614844194286618000 1614844195670747000 <nil> Get "https://cloudfront.net": dial tcp: lookup cloudfront.net: no such host
2021/03/03 23:49:55 8b41a9bf bbc.com 200 1614844194286592000 1614844195627998000 295744 <nil>
2021/03/03 23:49:55 4ccffe85 apple.com 200 1614844194286160000 1614844195779637000 73309 <nil>
2021/03/03 23:49:55 05fd366e doi.org 200 1614844194286889000 1614844195790626000 7453 <nil>
2021/03/03 23:49:55 701b156f youku.com 200 1614844194286595000 1614844195536936000 312794 <nil>
2021/03/03 23:49:55 8a68c47e weebly.com 200 1614844194286385000 1614844195831453000 122781 <nil>
2021/03/03 23:49:55 b5307912 cloudflare.com 200 1614844194286548000 1614844195871101000 134058 <nil>
2021/03/03 23:49:55 5e535f76 ibm.com 200 1614844194286674000 1614844195894520000 94823 <nil>
2021/03/03 23:49:55 5d98e044 google.com 200 1614844194285534000 1614844195905713000 13595 <nil>
2021/03/03 23:49:55 b040ace3 wiley.com 403 1614844194286363000 1614844195919950000 919 <nil>
2021/03/03 23:49:55 f02f741d berkeley.edu 200 1614844194286630000 1614844195935852000 52195 <nil>
2021/03/03 23:49:55 af6aceb4 tools.google.com 200 1614844194286598000 1614844195892243000 224499 <nil>
2021/03/03 23:49:55 f629ed8e telegraph.co.uk 200 1614844194286325000 1614844195920026000 264555 <nil>
2021/03/03 23:49:55 1fa0dd8d reuters.com 200 1614844194286559000 1614844195945705000 207921 <nil>
2021/03/03 23:49:55 a73e0281 googletagmanager.com 400 1614844194286158000 1614844195979996000 1555 <nil>
2021/03/03 23:49:55 6726b688 itunes.apple.com 200 1614844194286290000 1614844195995176000 64783 <nil>
2021/03/03 23:49:56 3a44bd8a independent.co.uk 200 1614844194286562000 1614844195975819000 322533 <nil>
2021/03/03 23:49:56 48c57bc4 surveymonkey.com 200 1614844194286581000 1614844196016695000 145025 <nil>
2021/03/03 23:49:56 7a8401eb oracle.com 200 1614844194286428000 1614844196030826000 26821 <nil>
2021/03/03 23:49:56 8079c961 ted.com 200 1614844194286611000 1614844196016673000 206772 <nil>
2021/03/03 23:49:56 349e756f themeforest.net 200 1614844194286344000 1614844195984707000 493837 <nil>
